Name	Hex	Decimal
XACT_E_TRANSACTIONCLOSED	0x8004D083	-2147168125
XACT_E_INVALIDLSN	0x8004D084	-2147168124
XACT_E_REPLAYREQUEST	0x8004D085	-2147168123
XACT_S_ASYNC	0x0004D000	315392
XACT_S_DEFECT	0x0004D001	315393
XACT_S_READONLY	0x0004D002	315394
XACT_S_SOMENORETAIN	0x0004D003	315395
XACT_S_OKINFORM	0x0004D004	315396
XACT_S_MADECHANGESCONTENT	0x0004D005	315397
XACT_S_MADECHANGESINFORM	0x0004D006	315398
XACT_S_ALLNORETAIN	0x0004D007	315399
XACT_S_ABORTING	0x0004D008	315400
XACT_S_SINGLEPHASE	0x0004D009	315401
XACT_S_LOCALLY_OK	0x0004D00A	315402
XACT_S_LASTRESOURCEMANAGER	0x0004D010	315408
CONTEXT_E_FIRST	0x8004E000	-2147164160
CONTEXT_E_LAST	0x8004E02F	-2147164113
CONTEXT_S_FIRST	0x0004E000	319488
CONTEXT_S_LAST	0x0004E02F	319535
CONTEXT_E_ABORTED	0x8004E002	-2147164158
CONTEXT_E_ABORTING	0x8004E003	-2147164157
CONTEXT_E_NOCONTEXT	0x8004E004	-2147164156
CONTEXT_E_WOULD_DEADLOCK	0x8004E005	-2147164155
CONTEXT_E_SYNCH_TIMEOUT	0x8004E006	-2147164154
CONTEXT_E_OLDREF	0x8004E007	-2147164153
CONTEXT_E_ROLENOTFOUND	0x8004E00C	-2147164148
CONTEXT_E_TMNOTAVAILABLE	0x8004E00F	-2147164145
CO_E_ACTIVATIONFAILED	0x8004E021	-2147164127
CO_E_ACTIVATIONFAILED_EVENTLOGGED	0x8004E022	-2147164126
CO_E_ACTIVATIONFAILED_CATALOGERROR	0x8004E023	-2147164125
CO_E_ACTIVATIONFAILED_TIMEOUT	0x8004E024	-2147164124
CO_E_INITIALIZATIONFAILED	0x8004E025	-2147164123
CONTEXT_E_NOJIT	0x8004E026	-2147164122
CONTEXT_E_NOTRANSACTION	0x8004E027	-2147164121
CO_E_THREADINGMODEL_CHANGED	0x8004E028	-2147164120
CO_E_NOIISINTRINSICS	0x8004E029	-2147164119
CO_E_NOCOOKIES	0x8004E02A	-2147164118
CO_E_DBERROR	0x8004E02B	-2147164117
CO_E_NOTPOOLED	0x8004E02C	-2147164116
CO_E_NOTCONSTRUCTED	0x8004E02D	-2147164115
CO_E_NOSYNCHRONIZATION	0x8004E02E	-2147164114
CO_E_ISOLEVELMISMATCH	0x8004E02F	-2147164113
OLE_S_USEREG	0x00040000	262144
OLE_S_STATIC	0x00040001	262145
OLE_S_MAC_CLIPFORMAT	0x00040002	262146
DRAGDROP_S_DROP	0x00040100	262400
DRAGDROP_S_CANCEL	0x00040101	262401
DRAGDROP_S_USEDEFAULTCURSORS	0x00040102	262402
DATA_S_SAMEFORMATETC	0x00040130	262448
VIEW_S_ALREADY_FROZEN	0x00040140	262464
CACHE_S_FORMATETC_NOTSUPPORTED	0x00040170	262512
CACHE_S_SAMECACHE	0x00040171	262513
CACHE_S_SOMECACHES_NOTUPDATED	0x00040172	262514
OLEOBJ_S_INVALIDVERB	0x00040180	262528
OLEOBJ_S_CANNOT_DOVERB_NOW	0x00040181	262529
OLEOBJ_S_INVALIDHWND	0x00040182	262530
INPLACE_S_TRUNCATED	0x000401A0	262560
CONVERT10_S_NO_PRESENTATION	0x000401C0	262592
MK_S_REDUCED_TO_SELF	0x000401E2	262626
MK_S_ME	0x000401E4	262628
MK_S_HIM	0x000401E5	262629
MK_S_US	0x000401E6	262630
MK_S_MONIKERALREADYREGISTERED	0x000401E7	262631
SCHED_S_TASK_READY	0x00041300	267008
SCHED_S_TASK_RUNNING	0x00041301	267009
SCHED_S_TASK_DISABLED	0x00041302	267010
SCHED_S_TASK_HAS_NOT_RUN	0x00041303	267011
SCHED_S_TASK_NO_MORE_RUNS	0x00041304	267012
SCHED_S_TASK_NOT_SCHEDULED	0x00041305	267013
SCHED_S_TASK_TERMINATED	0x00041306	267014
SCHED_S_TASK_NO_VALID_TRIGGERS	0x00041307	267015
SCHED_S_EVENT_TRIGGER	0x00041308	267016
SCHED_E_TRIGGER_NOT_FOUND	0x80041309	-2147216631
SCHED_E_TASK_NOT_READY	0x8004130A	-2147216630
SCHED_E_TASK_NOT_RUNNING	0x8004130B	-2147216629
SCHED_E_SERVICE_NOT_INSTALLED	0x8004130C	-2147216628
SCHED_E_CANNOT_OPEN_TASK	0x8004130D	-2147216627
SCHED_E_INVALID_TASK	0x8004130E	-2147216626
SCHED_E_ACCOUNT_INFORMATION_NOT_SET	0x8004130F	-2147216625
SCHED_E_ACCOUNT_NAME_NOT_FOUND	0x80041310	-2147216624
SCHED_E_ACCOUNT_DBASE_CORRUPT	0x80041311	-2147216623
SCHED_E_NO_SECURITY_SERVICES	0x80041312	-2147216622
SCHED_E_UNKNOWN_OBJECT_VERSION	0x80041313	-2147216621
SCHED_E_UNSUPPORTED_ACCOUNT_OPTION	0x80041314	-2147216620
SCHED_E_SERVICE_NOT_RUNNING	0x80041315	-2147216619
CO_E_CLASS_CREATE_FAILED	0x80080001	-2146959359
CO_E_SCM_ERROR	0x80080002	-2146959358
CO_E_SCM_RPC_FAILURE	0x80080003	-2146959357
CO_E_BAD_PATH	0x80080004	-2146959356
CO_E_SERVER_EXEC_FAILURE	0x80080005	-2146959355
CO_E_OBJSRV_RPC_FAILURE	0x80080006	-2146959354
MK_E_NO_NORMALIZED	0x80080007	-2146959353
CO_E_SERVER_STOPPING	0x80080008	-2146959352
MEM_E_INVALID_ROOT	0x80080009	-2146959351
MEM_E_INVALID_LINK	0x80080010	-2146959344
MEM_E_INVALID_SIZE	0x80080011	-2146959343
CO_S_NOTALLINTERFACES	0x00080012	524306
CO_S_MACHINENAMENOTFOUND	0x00080013	524307
DISP_E_UNKNOWNINTERFACE	0x80020001	-2147352575
DISP_E_MEMBERNOTFOUND	0x80020003	-2147352573
DISP_E_PARAMNOTFOUND	0x80020004	-2147352572
DISP_E_TYPEMISMATCH	0x80020005	-2147352571
DISP_E_UNKNOWNNAME	0x80020006	-2147352570
DISP_E_NONAMEDARGS	0x80020007	-2147352569
DISP_E_BADVARTYPE	0x80020008	-2147352568
DISP_E_EXCEPTION	0x80020009	-2147352567
DISP_E_OVERFLOW	0x8002000A	-2147352566
DISP_E_BADINDEX	0x8002000B	-2147352565
DISP_E_UNKNOWNLCID	0x8002000C	-2147352564
DISP_E_ARRAYISLOCKED	0x8002000D	-2147352563
DISP_E_BADPARAMCOUNT	0x8002000E	-2147352562
DISP_E_PARAMNOTOPTIONAL	0x8002000F	-2147352561
DISP_E_BADCALLEE	0x80020010	-2147352560
DISP_E_NOTACOLLECTION	0x80020011	-2147352559
DISP_E_DIVBYZERO	0x80020012	-2147352558
DISP_E_BUFFERTOOSMALL	0x80020013	-2147352557
TYPE_E_BUFFERTOOSMALL	0x80028016	-2147319786
TYPE_E_FIELDNOTFOUND	0x80028017	-2147319785
TYPE_E_INVDATAREAD	0x80028018	-2147319784
TYPE_E_UNSUPFORMAT	0x80028019	-2147319783
TYPE_E_REGISTRYACCESS	0x8002801C	-2147319780
TYPE_E_LIBNOTREGISTERED	0x8002801D	-2147319779
TYPE_E_UNDEFINEDTYPE	0x80028027	-2147319769
TYPE_E_QUALIFIEDNAMEDISALLOWED	0x80028028	-2147319768
TYPE_E_INVALIDSTATE	0x80028029	-2147319767
TYPE_E_WRONGTYPEKIND	0x8002802A	-2147319766
TYPE_E_ELEMENTNOTFOUND	0x8002802B	-2147319765
TYPE_E_AMBIGUOUSNAME	0x8002802C	-2147319764
TYPE_E_NAMECONFLICT	0x8002802D	-2147319763
TYPE_E_UNKNOWNLCID	0x8002802E	-2147319762
TYPE_E_DLLFUNCTIONNOTFOUND	0x8002802F	-2147319761
TYPE_E_BADMODULEKIND	0x800288BD	-2147317571
TYPE_E_SIZETOOBIG	0x800288C5	-2147317563
TYPE_E_DUPLICATEID	0x800288C6	-2147317562
TYPE_E_INVALIDID	0x800288CF	-2147317553
TYPE_E_TYPEMISMATCH	0x80028CA0	-2147316576
TYPE_E_OUTOFBOUNDS	0x80028CA1	-2147316575
TYPE_E_IOERROR	0x80028CA2	-2147316574
TYPE_E_CANTCREATETMPFILE	0x80028CA3	-2147316573
TYPE_E_CANTLOADLIBRARY	0x80029C4A	-2147312566
TYPE_E_INCONSISTENTPROPFUNCS	0x80029C83	-2147312509
TYPE_E_CIRCULARTYPE	0x80029C84	-2147312508
STG_E_INVALIDFUNCTION	0x80030001	-2147287039
STG_E_FILENOTFOUND	0x80030002	-2147287038
STG_E_PATHNOTFOUND	0x80030003	-2147287037
STG_E_TOOMANYOPENFILES	0x80030004	-2147287036
STG_E_ACCESSDENIED	0x80030005	-2147287035
STG_E_INVALIDHANDLE	0x80030006	-2147287034
STG_E_INSUFFICIENTMEMORY	0x80030008	-2147287032
STG_E_INVALIDPOINTER	0x80030009	-2147287031
STG_E_NOMOREFILES	0x80030012	-2147287022
STG_E_DISKISWRITEPROTECTED	0x80030013	-2147287021
STG_E_SEEKERROR	0x80030019	-2147287015
STG_E_WRITEFAULT	0x8003001D	-2147287011
STG_E_READFAULT	0x8003001E	-2147287010
STG_E_SHAREVIOLATION	0x80030020	-2147287008
STG_E_LOCKVIOLATION	0x80030021	-2147287007
STG_E_FILEALREADYEXISTS	0x80030050	-2147286960
STG_E_INVALIDPARAMETER	0x80030057	-2147286953
STG_E_MEDIUMFULL	0x80030070	-2147286928
STG_E_PROPSETMISMATCHED	0x800300F0	-2147286800
STG_E_ABNORMALAPIEXIT	0x800300FA	-2147286790
STG_E_INVALIDHEADER	0x800300FB	-2147286789
STG_E_INVALIDNAME	0x800300FC	-2147286788
STG_E_UNKNOWN	0x800300FD	-2147286787
STG_E_UNIMPLEMENTEDFUNCTION	0x800300FE	-2147286786
STG_E_INVALIDFLAG	0x800300FF	-2147286785
STG_E_INUSE	0x80030100	-2147286784
STG_E_NOTCURRENT	0x80030101	-2147286783
STG_E_REVERTED	0x80030102	-2147286782
STG_E_CANTSAVE	0x80030103	-2147286781
STG_E_OLDFORMAT	0x80030104	-2147286780
STG_E_OLDDLL	0x80030105	-2147286779
